,Attribute,#,Avail,Avg Sale,Cheapest
0,Alien,9,2,0,35KΞ
1,Ape,24,2,1.92KΞ,28.89KΞ
2,Zombie,88,6,932.12Ξ,2.09KΞ
3,Female,3840,487,67.06Ξ,112Ξ
4,Male,6039,814,68.63Ξ,103Ξ
