,Punk,Rarity,Genre,Skin,Traits,Owned_by
0,CryptoPunk #0,"2,023",Female,Mid-skinned,"['BlondeBob', 'Earring', 'GreenEyeShadow', 'HiddenEarring']",0xE08c32
1,CryptoPunk #1,"4,352",Male,Dark-skinned,"['Mohawk', 'Smile']",0xB88F61
2,CryptoPunk #2,"8,090",Female,Light-skinned,['WildHair'],0x897aEA
3,CryptoPunk #3,"7,896",Male,Dark-skinned,"['NerdGlasses', 'Pipe', 'WildHair']",0xC352B5
4,CryptoPunk #4,"7,332",Male,Mid-skinned,"['BigShades', 'Earring', 'Goat', 'WildHair']",0xC352B5
5,CryptoPunk #5,"1,960",Female,Mid-skinned,"['Earring', 'HalfShaved', 'PurpleEyeShadow', 'HiddenEarring']",Opensea
6,CryptoPunk #6,"7,425",Male,Mid-skinned,['Do-rag'],0xC352B5
7,CryptoPunk #7,866,Female,Mid-skinned,"['ClownEyesBlue', 'Spots', 'WildWhiteHair']",0xC352B5
8,CryptoPunk #8,"6,530",Male,Dark-skinned,"['LuxuriousBeard', 'MessyHair']",0xC352B5
9,CryptoPunk #9,"1,761",Male,Mid-skinned,"['BigBeard', 'ClownNose', 'PoliceCap']",0xC352B5
10,CryptoPunk #10,"5,668",Female,Dark-skinned,"['BlueEyeShadow', 'Mohawk']",0xC352B5
11,CryptoPunk #11,"2,565",Female,Mid-skinned,"['BlackLipstick', 'ClownEyesGreen', 'StraightHairDark']",0xC352B5
12,CryptoPunk #12,"1,201",Female,Dark-skinned,"['BlondeShort', 'PurpleLipstick']",0xC352B5
13,CryptoPunk #13,"1,657",Female,Light-skinned,"['BigShades', 'BlackLipstick', 'StraightHairBlonde']",0xC352B5
14,CryptoPunk #14,155,Female,Dark-skinned,"['HotLipstick', 'PilotHelmet', 'Pipe']",0x7C00c9
15,CryptoPunk #15,"6,494",Male,Albino-skinned,"['LuxuriousBeard', 'RegularShades', 'WildHair']",0xC352B5
16,CryptoPunk #16,"8,315",Male,Mid-skinned,"['Earring', 'SmallShades', 'StringyHair']",0xC352B5
17,CryptoPunk #17,"5,303",Male,Light-skinned,"['Frown', 'Mohawk']",0xC352B5
18,CryptoPunk #18,"4,458",Male,Mid-skinned,"['EyeMask', 'Muttonchops']",0xC352B5
19,CryptoPunk #19,"9,915",Female,Dark-skinned,"['Bandana', 'HornedRimGlasses', 'HotLipstick']",0xC352B5
20,CryptoPunk #20,"8,045",Male,Light-skinned,['CrazyHair'],0xC352B5
21,CryptoPunk #21,"9,607",Male,Light-skinned,"['ClassicShades', 'Earring', 'MessyHair']",0xC352B5
22,CryptoPunk #22,183,Female,Dark-skinned,"['PilotHelmet', 'PurpleLipstick']",0xC352B5
23,CryptoPunk #23,"5,480",Male,Light-skinned,"['Do-rag', 'Earring', 'Handlebars']",0xC352B5
24,CryptoPunk #24,"4,341",Male,Light-skinned,"['MohawkDark', 'Smile']",0xC352B5
25,CryptoPunk #25,"1,268",Female,Dark-skinned,['WildWhiteHair'],0xC352B5
26,CryptoPunk #26,"3,027",Female,Mid-skinned,['DarkHair'],0xC352B5
27,CryptoPunk #27,"7,831",Male,Light-skinned,"['Earring', 'PeakSpike']",0xC352B5
28,CryptoPunk #28,"8,763",Male,Dark-skinned,"['BigShades', 'CrazyHair']",0xC352B5
29,CryptoPunk #29,"2,297",Female,Mid-skinned,"['Earring', 'HalfShaved', 'HornedRimGlasses', 'HiddenEarring']",0xC352B5
30,CryptoPunk #30,"6,777",Male,Dark-skinned,"['Cap', 'NormalBeardBlack']",0x897aEA
31,CryptoPunk #31,"8,104",Female,Dark-skinned,['StringyHair'],0xC352B5
32,CryptoPunk #32,"4,393",Male,Light-skinned,"['Frown', 'VR']",0xd6a984
33,CryptoPunk #33,"7,635",Male,Light-skinned,['PeakSpike'],0x6611fE
34,CryptoPunk #34,"9,448",Female,Light-skinned,"['FrumpyHair', 'PurpleLipstick']",0xC352B5
35,CryptoPunk #35,"3,351",Male,Dark-skinned,"['Cigarette', 'Earring', 'HornedRimGlasses', 'NormalBeard', 'PeakSpike']",0xC352B5
36,CryptoPunk #36,"2,165",Female,Mid-skinned,['RedMohawk'],0xC352B5
37,CryptoPunk #37,"8,136",Female,Dark-skinned,"['Cap', 'ClownEyesBlue']",0xC352B5
38,CryptoPunk #38,"9,353",Female,Light-skinned,"['ClassicShades', 'FrumpyHair', 'PurpleLipstick']",0xC352B5
39,CryptoPunk #39,"5,226",Male,Light-skinned,"['Frown', 'RegularShades', 'ShavedHead']",Opensea
40,CryptoPunk #40,"4,247",Male,Light-skinned,"['Bandana', 'Chinstrap', 'Smile']",0xC352B5
41,CryptoPunk #41,"7,666",Male,Dark-skinned,"['ClownEyesGreen', 'Muttonchops', 'WildHair']",0xC352B5
42,CryptoPunk #42,"9,586",Female,Dark-skinned,"['Cigarette', 'WildHair']",0xC352B5
43,CryptoPunk #43,"2,166",Female,Mid-skinned,['HalfShaved'],0xC352B5
44,CryptoPunk #44,"8,099",Male,Light-skinned,['MessyHair'],0xC352B5
45,CryptoPunk #45,"4,576",Male,Mid-skinned,"['Earring', 'Mole']",0xC352B5
46,CryptoPunk #46,"2,684",Female,Mid-skinned,"['PurpleLipstick', 'StraightHairDark']",0xC352B5
47,CryptoPunk #47,"8,051",Male,Dark-skinned,['KnittedCap'],0xC352B5
48,CryptoPunk #48,"9,206",Male,Light-skinned,"['BigShades', 'Mohawk']",0xC352B5
49,CryptoPunk #49,"5,447",Female,Dark-skinned,"['Bandana', 'PurpleEyeShadow']",Opensea
50,CryptoPunk #50,902,Male,Mid-skinned,"['Fedora', 'Spots']",0xC352B5
51,CryptoPunk #51,"7,731",Male,Mid-skinned,"['Earring', 'Muttonchops', 'WildHair']",Opensea
52,CryptoPunk #52,"8,864",Male,Dark-skinned,"['Earring', 'KnittedCap', 'NerdGlasses', 'ShadowBeard']",0xC352B5
53,CryptoPunk #53,"2,825",Female,Light-skinned,"['BigShades', 'StraightHair']",0xe20388
54,CryptoPunk #54,"4,934",Male,Dark-skinned,['Hoodie'],0xC352B5
55,CryptoPunk #55,"4,502",Male,Light-skinned,['EyePatch'],0xC352B5
56,CryptoPunk #56,"7,421",Male,Dark-skinned,['ShavedHead'],0xC352B5
57,CryptoPunk #57,"8,037",Male,Light-skinned,['Headband'],0xC352B5
58,CryptoPunk #58,"4,876",Male,Mid-skinned,"['Hoodie', 'NormalBeardBlack']",0x897aEA
59,CryptoPunk #59,"1,420",Male,Albino-skinned,"['CowboyHat', 'Muttonchops']",0xC352B5
60,CryptoPunk #60,"9,849",Female,Light-skinned,"['PurpleLipstick', 'StringyHair']",Opensea
61,CryptoPunk #61,"3,026",Female,Light-skinned,['DarkHair'],0xC352B5
62,CryptoPunk #62,"8,506",Female,Dark-skinned,"['ClownEyesBlue', 'Earring', 'HotLipstick', 'MohawkDark']",0xC352B5
63,CryptoPunk #63,"7,434",Male,Dark-skinned,"['Earring', 'ShavedHead', 'SmallShades']",Opensea
64,CryptoPunk #64,"1,719",Female,Mid-skinned,"['PurpleLipstick', 'StraightHairBlonde']",0xC352B5
65,CryptoPunk #65,"7,127",Female,Mid-skinned,"['EyeMask', 'Headband']",0xC352B5
66,CryptoPunk #66,"3,656",Female,Dark-skinned,['TassleHat'],0xC352B5
67,CryptoPunk #67,"2,067",Female,Dark-skinned,"['DGlasses', 'HalfShaved', 'PurpleLipstick']",0xC352B5
68,CryptoPunk #68,"7,570",Male,Dark-skinned,"['Do-rag', 'NerdGlasses']",Opensea
69,CryptoPunk #69,"3,818",Male,Mid-skinned,"['Fedora', 'NormalBeardBlack']",Opensea
70,CryptoPunk #70,"8,742",Female,Mid-skinned,"['Cigarette', 'CrazyHair', 'Earring', 'RegularShades']",0xC352B5
71,CryptoPunk #71,"2,011",Female,Light-skinned,"['GreenEyeShadow', 'HalfShaved', 'PurpleLipstick']",0xC352B5
72,CryptoPunk #72,"3,825",Male,Dark-skinned,"['Earring', 'Fedora', 'NerdGlasses', 'NormalBeard']",0xC352B5
73,CryptoPunk #73,"9,952",Female,Mid-skinned,"['Bandana', 'BlackLipstick', 'Earring']",0xC352B5
74,CryptoPunk #74,"8,981",Male,Dark-skinned,"['Earring', 'MohawkDark', 'ShadowBeard']",Opensea
75,CryptoPunk #75,"8,839",Male,Light-skinned,"['EyePatch', 'KnittedCap', 'ShadowBeard']",0xC352B5
76,CryptoPunk #76,"7,590",Male,Light-skinned,"['Cigarette', 'Do-rag']",0xC352B5
77,CryptoPunk #77,"5,613",Male,Dark-skinned,"['Handlebars', 'StringyHair']",0xC352B5
78,CryptoPunk #78,"5,546",Male,Mid-skinned,"['EyePatch', 'Handlebars', 'KnittedCap']",Opensea
79,CryptoPunk #79,"7,010",Male,Dark-skinned,"['MohawkDark', 'NormalBeard']",Opensea
80,CryptoPunk #80,"6,696",Male,Albino-skinned,"['Mustache', 'WildHair']",0xC352B5
81,CryptoPunk #81,"8,251",Male,Light-skinned,"['Headband', 'SmallShades']",0xC352B5
82,CryptoPunk #82,"8,033",Male,Albino-skinned,['Headband'],0xC352B5
83,CryptoPunk #83,"5,861",Male,Light-skinned,"['ShavedHead', 'SmallShades', 'Vape']",0xC352B5
84,CryptoPunk #84,"9,656",Male,Light-skinned,"['BigShades', 'Earring', 'MessyHair']",Opensea
85,CryptoPunk #85,"8,042",Female,Dark-skinned,['CrazyHair'],0xC352B5
86,CryptoPunk #86,"5,751",Female,Dark-skinned,"['Earring', 'GreenEyeShadow', 'HotLipstick', 'KnittedCap']",0xC352B5
87,CryptoPunk #87,"4,998",Male,Light-skinned,"['Earring', 'Hoodie', 'HiddenEarring']",0xC352B5
88,CryptoPunk #88,"8,231",Female,Light-skinned,"['Cap', 'HotLipstick']",0xC352B5
89,CryptoPunk #89,125,Female,Dark-skinned,['Choker'],0x78f026
90,CryptoPunk #90,"4,954",Male,Mid-skinned,"['EyePatch', 'Hoodie']",0xC352B5
91,CryptoPunk #91,"2,730",Female,Light-skinned,"['ClownNose', 'StraightHair']",0xC352B5
92,CryptoPunk #92,729,Female,Light-skinned,"['NerdGlasses', 'PinkWithHat', 'PurpleLipstick']",0xC352B5
93,CryptoPunk #93,"8,114",Female,Light-skinned,['Bandana'],0xC352B5
94,CryptoPunk #94,720,Female,Dark-skinned,"['Earring', 'PinkWithHat', 'RegularShades', 'HiddenEarring']",0xC352B5
95,CryptoPunk #95,"9,339",Male,Mid-skinned,"['Earring', 'Mohawk']",Opensea
96,CryptoPunk #96,"2,161",Female,Light-skinned,['BlondeBob'],0xC352B5
97,CryptoPunk #97,"8,093",Male,Mid-skinned,['WildHair'],0xC352B5
98,CryptoPunk #98,436,Female,Light-skinned,"['BlackLipstick', 'DarkHair', 'WeldingGoggles']",0xC352B5
99,CryptoPunk #99,"4,997",Male,Mid-skinned,"['Cigarette', 'Hoodie']",0xC352B5
100,CryptoPunk #100,"3,658",Female,Mid-skinned,['TassleHat'],0xC352B5
101,CryptoPunk #101,"4,069",Male,Mid-skinned,"['NerdGlasses', 'PoliceCap']",0xC352B5
102,CryptoPunk #102,"2,078",Male,Mid-skinned,"['LuxuriousBeard', 'VampireHair']",0xB88F61
103,CryptoPunk #103,"2,005",Female,Dark-skinned,"['BlackLipstick', 'BlondeBob', 'GreenEyeShadow']",0x89621B
104,CryptoPunk #104,"6,805",Male,Dark-skinned,"['CrazyHair', 'Earring', 'EyePatch', 'NormalBeardBlack']",0xC352B5
105,CryptoPunk #105,"8,074",Male,Light-skinned,['MohawkThin'],0xC352B5
106,CryptoPunk #106,"1,589",Female,Light-skinned,['StraightHairBlonde'],0xC352B5
107,CryptoPunk #107,"8,039",Male,Mid-skinned,['Headband'],0xC352B5
108,CryptoPunk #108,"8,682",Female,Light-skinned,"['BlackLipstick', 'Headband']",0xd0C877
109,CryptoPunk #109,"3,778",Male,Dark-skinned,"['Earring', 'Fedora', 'Handlebars']",0xeEE5Eb
110,CryptoPunk #110,"9,046",Female,Dark-skinned,"['Cigarette', 'Earring', 'MohawkDark', 'PurpleLipstick']",0xC352B5
111,CryptoPunk #111,"5,551",Male,Dark-skinned,"['Handlebars', 'KnittedCap']",0x2Debdf
112,CryptoPunk #112,"1,877",Male,Mid-skinned,"['Bandana', 'BigBeard', 'Earring', 'HornedRimGlasses']",0xC352B5
113,CryptoPunk #113,"8,066",Male,Albino-skinned,['Mohawk'],0xC352B5
114,CryptoPunk #114,"2,158",Female,Dark-skinned,['RedMohawk'],0xC352B5
115,CryptoPunk #115,"2,421",Female,Dark-skinned,"['Earring', 'HalfShaved', 'HiddenEarring']",0xC352B5
116,CryptoPunk #116,220,Female,Dark-skinned,"['BlackLipstick', 'ClownEyesBlue', 'Earring', 'Tiara']",0x9Ef55a
117,CryptoPunk #117,504,Zombie,Zombie-skinned,"['FrontBeardDark', 'MessyHair']",0xC352B5
118,CryptoPunk #118,"9,954",Female,Light-skinned,"['Bandana', 'BlackLipstick']",0x9179de
119,CryptoPunk #119,"8,245",Male,Mid-skinned,"['Cap', 'Earring']",0xB88F61
120,CryptoPunk #120,"3,703",Female,Mid-skinned,"['BigShades', 'TassleHat']",0xC352B5
121,CryptoPunk #121,243,Female,Light-skinned,"['PurpleLipstick', 'Tiara']",0xC352B5
122,CryptoPunk #122,"9,323",Male,Light-skinned,"['Cigarette', 'Mohawk']",0x78e96B
123,CryptoPunk #123,868,Female,Mid-skinned,"['Spots', 'WildWhiteHair']",0xC352B5
124,CryptoPunk #124,"6,760",Male,Mid-skinned,"['Earring', 'NormalBeardBlack', 'PeakSpike']",0xEDd776
125,CryptoPunk #125,"3,693",Female,Light-skinned,"['BigShades', 'PurpleLipstick', 'TassleHat']",0xC352B5
126,CryptoPunk #126,"8,605",Male,Albino-skinned,"['Cigarette', 'Earring', 'EyePatch', 'Headband']",0xC352B5
127,CryptoPunk #127,"8,453",Female,Mid-skinned,"['ClownEyesGreen', 'StringyHair']",0x4d8E16
128,CryptoPunk #128,"3,938",Male,Light-skinned,"['Chinstrap', 'Mole', 'PoliceCap', 'Vape', 'HiddenMole']",0xC352B5
129,CryptoPunk #129,"3,389",Male,Light-skinned,"['CapForward', 'Cigarette', 'GoldChain', 'HornedRimGlasses']",0xC352B5
130,CryptoPunk #130,"8,075",Male,Light-skinned,['Mohawk'],0xC352B5
131,CryptoPunk #131,"2,694",Female,Mid-skinned,"['HotLipstick', 'StraightHairDark']",0xC352B5
132,CryptoPunk #132,"8,070",Male,Dark-skinned,['MohawkThin'],0xC352B5
133,CryptoPunk #133,"3,149",Male,Albino-skinned,"['Chinstrap', 'Pipe', 'PurpleHair']",0xC352B5
134,CryptoPunk #134,"4,021",Male,Mid-skinned,['PoliceCap'],0xC352B5
135,CryptoPunk #135,"4,708",Male,Light-skinned,['CapForward'],0xC352B5
136,CryptoPunk #136,"7,444",Male,Dark-skinned,"['ClownEyesGreen', 'ShadowBeard', 'ShavedHead']",0xB88F61
137,CryptoPunk #137,"8,097",Male,Dark-skinned,['MessyHair'],0xC352B5
138,CryptoPunk #138,"9,806",Male,Light-skinned,"['HornedRimGlasses', 'StringyHair']",0xD049b3
139,CryptoPunk #139,"7,470",Male,Mid-skinned,"['Do-rag', 'EyePatch']",0x7C0830
140,CryptoPunk #140,"4,532",Female,Dark-skinned,['HotLipstick'],0xC352B5
141,CryptoPunk #141,"6,115",Male,Dark-skinned,"['DGlasses', 'Chinstrap', 'Headband']",0x78E6Fe
142,CryptoPunk #142,"9,168",Male,Light-skinned,"['Mohawk', 'RegularShades']",0xB88F61
143,CryptoPunk #143,91,Male,Light-skinned,"['Beanie', 'HornedRimGlasses']",0x9Cb8C1
144,CryptoPunk #144,"6,479",Male,Dark-skinned,"['Cigarette', 'FrumpyHair', 'LuxuriousBeard']",0xB88F61
145,CryptoPunk #145,"8,091",Male,Light-skinned,['WildHair'],0xC352B5
146,CryptoPunk #146,"9,335",Male,Light-skinned,"['Earring', 'Mohawk']",0xB88F61
147,CryptoPunk #147,"9,158",Male,Albino-skinned,"['MohawkThin', 'RegularShades']",0xB88F61
148,CryptoPunk #148,"4,935",Male,Mid-skinned,['Hoodie'],0xC352B5
149,CryptoPunk #149,"6,522",Male,Light-skinned,"['BigShades', 'LuxuriousBeard', 'MessyHair']",0xB88F61
150,CryptoPunk #150,"4,578",Female,Mid-skinned,"['Earring', 'PurpleLipstick']",0xFeEb2d
151,CryptoPunk #151,"8,015",Male,Mid-skinned,"['StringyHair', 'VR']",0xB88F61
152,CryptoPunk #152,"8,371",Male,Light-skinned,"['ClownEyesGreen', 'MohawkDark']",0xB88F61
153,CryptoPunk #153,"7,120",Male,Mid-skinned,"['Cap', 'Earring', 'EyeMask']",0xB88F61
154,CryptoPunk #154,"4,969",Male,Dark-skinned,"['Earring', 'Hoodie', 'ShadowBeard', 'HiddenEarring']",0xC352B5
155,CryptoPunk #155,"2,455",Male,Dark-skinned,"['ClownHairGreen', 'ClownNose']",0xca5E7f
156,CryptoPunk #156,"4,715",Male,Dark-skinned,"['CapForward', 'SmallShades']",0xB88F61
157,CryptoPunk #157,"8,237",Male,Mid-skinned,"['Cap', 'Cigarette']",0xB88F61
158,CryptoPunk #158,"7,330",Male,Light-skinned,"['Goat', 'RegularShades', 'WildHair']",0xB88F61
159,CryptoPunk #159,"9,873",Male,Light-skinned,"['Earring', 'StringyHair']",0xB88F61
160,CryptoPunk #160,612,Female,Mid-skinned,"['ClownEyesBlue', 'Pigtails', 'PurpleLipstick']",0x565496
161,CryptoPunk #161,"9,452",Female,Dark-skinned,"['FrumpyHair', 'HotLipstick']",0x88bC3E
162,CryptoPunk #162,"6,860",Male,Mid-skinned,"['FrumpyHair', 'HornedRimGlasses', 'NormalBeardBlack']",0xB88F61
163,CryptoPunk #163,"7,466",Male,Dark-skinned,"['EyePatch', 'ShavedHead']",0xB88F61
164,CryptoPunk #164,"8,014",Female,Mid-skinned,"['StringyHair', 'VR']",0xC352B5
165,CryptoPunk #165,"5,111",Male,Mid-skinned,"['Cigarette', 'FrontBeardDark', 'MohawkDark']",0xB88F61
166,CryptoPunk #166,"7,528",Male,Dark-skinned,"['RegularShades', 'ShavedHead']",0xB88F61
167,CryptoPunk #167,"8,698",Female,Mid-skinned,"['Headband', 'HotLipstick']",0x4d8E16
168,CryptoPunk #168,"1,880",Female,Light-skinned,"['BlondeBob', 'BlueEyeShadow', 'SilverChain']",0x78f026
169,CryptoPunk #169,"1,299",Female,Mid-skinned,"['HotLipstick', 'RegularShades', 'WildWhiteHair']",0xcfc505
170,CryptoPunk #170,"7,775",Male,Light-skinned,"['ClassicShades', 'Mole', 'PeakSpike']",0xB88F61
171,CryptoPunk #171,"9,837",Male,Mid-skinned,"['Earring', 'Mole', 'StringyHair']",0xB88F61
172,CryptoPunk #172,"2,068",Female,Mid-skinned,"['DGlasses', 'BlondeBob', 'PurpleLipstick']",0xC352B5
173,CryptoPunk #173,"3,360",Female,Dark-skinned,"['ClownEyesBlue', 'HotLipstick', 'MessyHair', 'Mole', 'Pipe']",0x88BBEE
174,CryptoPunk #174,"9,534",Male,Dark-skinned,"['Earring', 'HornedRimGlasses', 'WildHair']",0xB88F61
175,CryptoPunk #175,"8,197",Male,Mid-skinned,"['BigShades', 'Cap']",0xB88F61
176,CryptoPunk #176,"9,512",Female,Dark-skinned,"['Earring', 'PurpleLipstick', 'RegularShades', 'WildHair', 'HiddenEarring']",0xC352B5
177,CryptoPunk #177,"6,561",Male,Dark-skinned,"['Bandana', 'LuxuriousBeard']",0xB88F61
178,CryptoPunk #178,"3,855",Male,Mid-skinned,['Fedora'],0xC352B5
179,CryptoPunk #179,"9,095",Male,Albino-skinned,"['ClassicShades', 'MohawkThin', 'ShadowBeard']",0xB88F61
180,CryptoPunk #180,189,Female,Dark-skinned,"['HotLipstick', 'PilotHelmet']",0xFeEb2d
181,CryptoPunk #181,"8,071",Male,Dark-skinned,['Mohawk'],0xC352B5
182,CryptoPunk #182,"7,633",Male,Albino-skinned,['PeakSpike'],0xC352B5
183,CryptoPunk #183,"4,507",Male,Light-skinned,['ShadowBeard'],0xC352B5
184,CryptoPunk #184,"2,025",Female,Dark-skinned,"['BlondeBob', 'GreenEyeShadow']",0xC352B5
185,CryptoPunk #185,"1,334",Female,Light-skinned,"['HotLipstick', 'WildWhiteHair']",0xC352B5
186,CryptoPunk #186,"6,642",Male,Dark-skinned,"['CrazyHair', 'Mustache']",0x06e13b
187,CryptoPunk #187,"2,777",Female,Light-skinned,['StraightHair'],0xC352B5
188,CryptoPunk #188,"7,815",Male,Dark-skinned,"['Earring', 'NerdGlasses', 'PeakSpike']",0xB88F61
189,CryptoPunk #189,"9,288",Female,Light-skinned,"['MohawkThin', 'PurpleLipstick']",0x4d8E16
190,CryptoPunk #190,"8,035",Male,Dark-skinned,['Headband'],0xC352B5
191,CryptoPunk #191,"8,068",Female,Dark-skinned,['Mohawk'],0xC352B5
192,CryptoPunk #192,"4,170",Male,Mid-skinned,"['ClownNose', 'Earring', 'MohawkThin', 'NerdGlasses']",0x4d8E16
193,CryptoPunk #193,"3,623",Female,Light-skinned,"['Earring', 'GreenEyeShadow', 'TassleHat', 'HiddenEarring']",0x4d8E16
194,CryptoPunk #194,"8,423",Male,Light-skinned,"['ClownEyesGreen', 'WildHair']",0xB88F61
195,CryptoPunk #195,"1,687",Female,Light-skinned,"['NerdGlasses', 'StraightHairBlonde']",0xC06dBD
196,CryptoPunk #196,"3,695",Female,Light-skinned,"['BigShades', 'HotLipstick', 'TassleHat']",0xC352B5
197,CryptoPunk #197,"9,348",Male,Dark-skinned,"['EyePatch', 'FrumpyHair']",0x5Bf18d
198,CryptoPunk #198,68,Male,Mid-skinned,"['Beanie', 'LuxuriousBeard']",0xC352B5
199,CryptoPunk #199,"1,161",Female,Light-skinned,"['BlondeShort', 'ClassicShades']",0xC352B5
200,CryptoPunk #200,"8,088",Female,Dark-skinned,['WildHair'],0xC352B5
201,CryptoPunk #201,"2,996",Female,Mid-skinned,"['BlueEyeShadow', 'Cigarette', 'DarkHair', 'HotLipstick']",0x4d8E16
202,CryptoPunk #202,"8,691",Female,Light-skinned,"['Earring', 'Headband', 'PurpleLipstick']",0x4d8E16
203,CryptoPunk #203,"6,082",Male,Light-skinned,"['FrontBeard', 'MessyHair', 'RegularShades']",0xAB6cA2
204,CryptoPunk #204,"8,749",Male,Mid-skinned,"['CrazyHair', 'RegularShades']",0xeAB37B
205,CryptoPunk #205,"6,829",Male,Mid-skinned,"['BigShades', 'MohawkDark', 'NormalBeardBlack']",0xAE7721
206,CryptoPunk #206,"4,087",Male,Light-skinned,"['CapForward', 'Cigarette', 'ClownNose']",0x4d8E16
207,CryptoPunk #207,"7,616",Male,Light-skinned,"['EyePatch', 'PeakSpike', 'Pipe']",0x41fcF4
208,CryptoPunk #208,"6,321",Male,Mid-skinned,"['DGlasses', 'Earring', 'ShavedHead']",0xB88F61
209,CryptoPunk #209,"9,856",Female,Dark-skinned,"['HotLipstick', 'StringyHair']",0x4d8E16
210,CryptoPunk #210,"2,708",Female,Mid-skinned,"['Earring', 'StraightHairDark', 'HiddenEarring']",0xC352B5
211,CryptoPunk #211,"7,320",Male,Dark-skinned,"['Goat', 'MohawkThin']",0xf0D699
212,CryptoPunk #212,"8,822",Female,Dark-skinned,"['CrazyHair', 'HotLipstick']",0xC352B5
213,CryptoPunk #213,"8,046",Female,Mid-skinned,['CrazyHair'],0xC352B5
214,CryptoPunk #214,"5,128",Male,Dark-skinned,"['FrontBeardDark', 'Mohawk']",0xD7E683
215,CryptoPunk #215,"8,076",Female,Mid-skinned,['Mohawk'],0xC352B5
216,CryptoPunk #216,"8,117",Male,Mid-skinned,['Bandana'],0xC352B5
217,CryptoPunk #217,"6,210",Male,Mid-skinned,"['Chinstrap', 'Earring', 'MohawkDark']",0xB88F61
218,CryptoPunk #218,"5,511",Male,Light-skinned,"['Cap', 'Handlebars', 'Mole', 'RegularShades']",0xB88F61
219,CryptoPunk #219,"1,062",Female,Dark-skinned,"['Bandana', 'ClownEyesBlue', 'Earring', 'RosyCheeks']",0xC352B5
220,CryptoPunk #220,"8,652",Male,Albino-skinned,"['BigShades', 'Headband']",0xEc7641
221,CryptoPunk #221,"7,758",Male,Dark-skinned,"['Cigarette', 'ClassicShades', 'Muttonchops', 'StringyHair']",0xB88F61
222,CryptoPunk #222,"7,395",Male,Light-skinned,"['Do-rag', 'Pipe', 'SmallShades']",Opensea
223,CryptoPunk #223,"6,982",Male,Light-skinned,"['CrazyHair', 'NerdGlasses', 'NormalBeard']",0x4d8E16
224,CryptoPunk #224,"8,669",Male,Light-skinned,"['Cigarette', 'Earring', 'Headband', 'NerdGlasses']",0xB88F61
225,CryptoPunk #225,311,Female,Mid-skinned,"['Earring', 'HotLipstick', 'OrangeSide', 'HiddenEarring']",0xC352B5
226,CryptoPunk #226,"4,534",Female,Mid-skinned,['HotLipstick'],0xC352B5
227,CryptoPunk #227,"1,270",Female,Mid-skinned,['WildWhiteHair'],0xC352B5
228,CryptoPunk #228,"7,663",Male,Mid-skinned,"['PeakSpike', 'SmallShades']",0xB88F61
229,CryptoPunk #229,"9,727",Male,Light-skinned,"['Cigarette', 'MessyHair']",0x762ec7
230,CryptoPunk #230,"6,429",Male,Dark-skinned,"['KnittedCap', 'LuxuriousBeard']",0xB88F61
231,CryptoPunk #231,"7,915",Female,Mid-skinned,"['Earring', 'Pipe', 'StringyHair']",0xC352B5
232,CryptoPunk #232,"5,688",Female,Dark-skinned,"['BlueEyeShadow', 'WildHair']",0x4d8E16
233,CryptoPunk #233,"9,978",Female,Albino-skinned,"['Bandana', 'HotLipstick']",0x4d8E16
234,CryptoPunk #234,"8,910",Male,Light-skinned,"['KnittedCap', 'NerdGlasses']",0x0d93bc
235,CryptoPunk #235,"9,461",Male,Light-skinned,"['Cigarette', 'FrumpyHair']",0xd7510a
236,CryptoPunk #236,"2,121",Male,Light-skinned,"['Muttonchops', 'VampireHair']",0x47398F
237,CryptoPunk #237,"9,165",Male,Dark-skinned,"['Mohawk', 'RegularShades']",0x55Cf34
238,CryptoPunk #238,"2,577",Female,Mid-skinned,"['ClownEyesGreen', 'StraightHairDark']",0xee269a
239,CryptoPunk #239,"5,213",Male,Dark-skinned,"['Frown', 'Goat', 'Mohawk']",0x24e267
240,CryptoPunk #240,"1,674",Female,Mid-skinned,"['BigShades', 'StraightHairBlonde']",0x3e9dAc
241,CryptoPunk #241,"1,590",Female,Light-skinned,['WildBlonde'],0x31a5Ff
242,CryptoPunk #242,"9,827",Female,Dark-skinned,"['BlackLipstick', 'StringyHair']",0x3fb537
243,CryptoPunk #243,"3,947",Male,Light-skinned,"['Cigarette', 'Earring', 'FrontBeard', 'PoliceCap']",0xC352B5
244,CryptoPunk #244,"9,513",Female,Light-skinned,"['PurpleLipstick', 'RegularShades', 'WildHair']",0x4d8E16
245,CryptoPunk #245,"3,025",Female,Dark-skinned,['DarkHair'],0xC352B5
246,CryptoPunk #246,"6,555",Male,Albino-skinned,"['Bandana', 'Earring', 'LuxuriousBeard']",0x618629
247,CryptoPunk #247,"5,762",Female,Dark-skinned,"['GreenEyeShadow', 'MohawkDark']",0x4d8E16
248,CryptoPunk #248,"5,424",Female,Dark-skinned,"['MessyHair', 'PurpleEyeShadow']",0xB88F61
249,CryptoPunk #249,280,Female,Light-skinned,['OrangeSide'],0x69021A
250,CryptoPunk #250,"8,409",Female,Mid-skinned,"['ClownEyesGreen', 'Earring', 'FrumpyHair', 'HiddenEarring']",0x4d8E16
251,CryptoPunk #251,"5,763",Female,Light-skinned,"['GreenEyeShadow', 'MohawkDark']",0x4d8E16
252,CryptoPunk #252,"4,772",Male,Albino-skinned,"['CapForward', 'Mole']",Opensea
253,CryptoPunk #253,"1,145",Female,Dark-skinned,"['BlondeShort', 'ClownEyesGreen']",0xC352B5
