,Punk,Rarity,Genre,Skin,Traits,Owned_by
6070,CryptoPunk #6070,"8,924",Female,Light-skinned,"['Earring', 'KnittedCap', 'PurpleLipstick']",0x92fAB4
6071,CryptoPunk #6071,"2,789",Female,Dark-skinned,"['ClownEyesBlue', 'PurpleLipstick', 'StraightHair']",0xA49487
6072,CryptoPunk #6072,"1,927",Female,Light-skinned,"['BlondeBob', 'ClownNose']",0x279679
6073,CryptoPunk #6073,619,Female,Light-skinned,"['EyePatch', 'HotLipstick', 'Pigtails']",0x696ed7
6074,CryptoPunk #6074,"2,198",Female,Light-skinned,"['BlackLipstick', 'ClownEyesBlue', 'Earring', 'RedMohawk']",0x358605
6075,CryptoPunk #6075,"2,523",Female,Light-skinned,"['DGlasses', 'StraightHairDark']",0xe9054B
6076,CryptoPunk #6076,"8,432",Male,Dark-skinned,"['ClownEyesGreen', 'Earring', 'MessyHair']",0xC72AED
6077,CryptoPunk #6077,"9,217",Female,Dark-skinned,"['BlackLipstick', 'MohawkThin', 'NerdGlasses']",0x2A5380
6078,CryptoPunk #6078,"2,209",Female,Mid-skinned,"['ClownEyesBlue', 'HotLipstick', 'RedMohawk']",0x6611fE
6079,CryptoPunk #6079,"8,556",Female,Light-skinned,"['ClownEyesBlue', 'HotLipstick', 'WildHair']",0xB02365
6080,CryptoPunk #6080,"6,485",Male,Dark-skinned,"['DGlasses', 'FrumpyHair']",0x2503E9
6081,CryptoPunk #6081,"4,211",Male,Light-skinned,['Smile'],0x6eF237
6082,CryptoPunk #6082,"7,239",Male,Mid-skinned,"['Goat', 'PeakSpike']",0x51688C
6083,CryptoPunk #6083,"9,527",Male,Dark-skinned,"['Cigarette', 'HornedRimGlasses', 'WildHair']",0xe20388
6084,CryptoPunk #6084,"3,723",Female,Albino-skinned,"['PurpleLipstick', 'TassleHat']",0xCC7C33
6085,CryptoPunk #6085,"6,693",Male,Light-skinned,"['FrumpyHair', 'Mustache']",0xa044EC
6086,CryptoPunk #6086,"7,888",Female,Light-skinned,"['Earring', 'FrumpyHair', 'HotLipstick', 'Pipe', 'HiddenEarring']",0x5d43E8
6087,CryptoPunk #6087,"7,231",Male,Light-skinned,"['Goat', 'PeakSpike', 'RegularShades']",0x8b27de
6088,CryptoPunk #6088,"9,218",Female,Dark-skinned,"['Earring', 'Mohawk', 'Mole', 'NerdGlasses']",0xeDe69F
6089,CryptoPunk #6089,17,Alien,Alien-skinned,"['Earring', 'KnittedCap']",0x6611fE
6090,CryptoPunk #6090,"4,733",Male,Light-skinned,"['CapForward', 'ClassicShades', 'Earring']",0x6c22A9
6091,CryptoPunk #6091,"4,082",Male,Mid-skinned,['ClownNose'],0x8Dbbca
6092,CryptoPunk #6092,"9,368",Male,Albino-skinned,"['Earring', 'FrumpyHair', 'ShadowBeard']",0x85AB42
6093,CryptoPunk #6093,"1,916",Female,Mid-skinned,"['HalfShaved', 'HotLipstick', 'MedicalMask', 'HiddenLipstick']",0x2f2f23
6094,CryptoPunk #6094,"3,438",Male,Mid-skinned,"['GoldChain', 'Headband']",0x8F6b1e
6095,CryptoPunk #6095,"3,460",Male,Dark-skinned,"['GoldChain', 'WildHair']",0x3b417F
6096,CryptoPunk #6096,"5,786",Female,Light-skinned,"['GreenEyeShadow', 'MohawkThin']",0xdc9e11
6097,CryptoPunk #6097,"6,759",Male,Albino-skinned,"['NormalBeardBlack', 'PeakSpike']",0x584CDF
6098,CryptoPunk #6098,"2,629",Female,Mid-skinned,"['BigShades', 'HotLipstick', 'StraightHairDark']",0x8E7644
6099,CryptoPunk #6099,449,Female,Dark-skinned,"['CrazyHair', 'WeldingGoggles']",0x3d8680
6100,CryptoPunk #6100,"2,079",Male,Light-skinned,"['EyePatch', 'Mustache', 'VampireHair']",0x51688C
6101,CryptoPunk #6101,"4,384",Male,Dark-skinned,"['Bandana', 'RegularShades', 'Smile']",0x26f744
6102,CryptoPunk #6102,"2,274",Female,Dark-skinned,"['RedMohawk', 'RegularShades']",0x26f744
6103,CryptoPunk #6103,"7,803",Male,Light-skinned,"['Earring', 'HornedRimGlasses', 'PeakSpike']",0x00B278
6104,CryptoPunk #6104,"1,614",Female,Albino-skinned,"['ClownEyesBlue', 'HotLipstick', 'Mole', 'WildBlonde']",0x88c500
6105,CryptoPunk #6105,"1,803",Male,Dark-skinned,"['BigBeard', 'ShavedHead']",0x61FEf9
6106,CryptoPunk #6106,"4,796",Male,Mid-skinned,"['Chinstrap', 'Frown', 'Hoodie']",0xf6598c
6107,CryptoPunk #6107,"3,401",Female,Dark-skinned,"['BlueEyeShadow', 'CrazyHair', 'GoldChain']",0x69021A
6108,CryptoPunk #6108,"8,337",Male,Mid-skinned,"['ClownEyesGreen', 'Headband']",0xfe0D9a
6109,CryptoPunk #6109,"8,398",Male,Mid-skinned,"['ClownEyesGreen', 'Mohawk']",0xd5b171
6110,CryptoPunk #6110,"9,294",Female,Light-skinned,"['Cigarette', 'HotLipstick', 'Mohawk']",0x6F4A2d
6111,CryptoPunk #6111,646,Female,Dark-skinned,"['Earring', 'HotLipstick', 'Pigtails']",0x175b49
6112,CryptoPunk #6112,"5,293",Male,Mid-skinned,"['Earring', 'EyePatch', 'Frown', 'MohawkThin']",0x0f4F46
6113,CryptoPunk #6113,"2,963",Female,Dark-skinned,"['HornedRimGlasses', 'MessyHair', 'SilverChain']",0x577eBC
6114,CryptoPunk #6114,"3,934",Male,Dark-skinned,"['Handlebars', 'PoliceCap']",0x3889A7
6115,CryptoPunk #6115,"9,048",Female,Albino-skinned,"['MohawkDark', 'PurpleLipstick']",0x516358
6116,CryptoPunk #6116,"2,476",Female,Mid-skinned,"['BlueEyeShadow', 'Cigarette', 'PurpleLipstick', 'StraightHairDark']",0x3295df
6117,CryptoPunk #6117,"7,688",Male,Dark-skinned,"['Earring', 'KnittedCap', 'Muttonchops', 'RegularShades']",0xF12D70
6118,CryptoPunk #6118,"6,931",Male,Mid-skinned,"['EyePatch', 'NormalBeard', 'PeakSpike']",0x748065
6119,CryptoPunk #6119,"8,482",Male,Light-skinned,"['Cigarette', 'ClownEyesBlue', 'CrazyHair']",0xB63270
6120,CryptoPunk #6120,"1,771",Male,Mid-skinned,"['BigBeard', 'CapForward', 'SmallShades']",0x717403
