,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-06-01,230.886002,236.22099300000002,214.479996,222.238998,222.238998,812924032.0
1,2017-06-02,222.285995,229.410995,219.584,223.774994,223.774994,469532000.0
2,2017-06-03,223.464005,225.973007,219.419006,224.376007,224.376007,427896000.0
3,2017-06-04,224.117004,250.41000400000001,223.981003,245.332001,245.332001,753820032.0
4,2017-06-05,245.26199300000002,249.46899399999998,243.048996,248.464005,248.464005,435660000.0
5,2017-06-06,248.59899900000002,267.514008,246.839005,264.466003,264.466003,741553024.0
6,2017-06-07,264.26001,264.674011,254.039993,258.071014,258.071014,461648992.0
7,2017-06-08,257.990997,262.25201400000003,253.975006,261.66598500000003,261.66598500000003,385494016.0
8,2017-06-09,261.74899300000004,282.760986,261.74899300000004,281.737,281.737,557985984.0
9,2017-06-10,282.014008,350.260986,282.014008,337.667999,337.667999,1611629952.0
10,2017-06-11,338.794006,353.010986,318.17099,340.60900899999996,340.60900899999996,1373219968.0
11,2017-06-12,341.164001,414.756012,341.164001,401.48999,401.48999,2882650112.0
12,2017-06-13,395.68600499999997,411.178009,370.057007,397.536987,397.536987,1717379968.0
13,2017-06-14,397.588989,399.324005,342.214996,359.053009,359.053009,1272579968.0
14,2017-06-15,358.50698900000003,364.43899500000003,300.700012,361.933014,361.933014,2463450112.0
15,2017-06-16,361.182007,373.054993,341.416992,370.22699,370.22699,1096280064.0
16,2017-06-17,369.882996,379.414001,364.00201400000003,379.414001,379.414001,904652992.0
17,2017-06-18,379.51901200000003,390.580994,368.843994,371.458008,371.458008,904702976.0
18,2017-06-19,371.864014,377.11499,369.763,370.056,370.056,685171968.0
19,2017-06-20,370.326996,377.968994,350.941986,359.005005,359.005005,1020390016.0
20,2017-06-21,359.540009,361.342987,319.47900400000003,336.872009,336.872009,1420130048.0
21,2017-06-22,337.733002,342.027008,330.622009,336.371002,336.371002,925766976.0
22,2017-06-23,336.484985,348.006012,334.98999,341.739014,341.739014,593206976.0
