Attribute,#,Avail,Avg Sale,Cheapest
Alien,9,2,,35K
Ape,24,2,1.92K,28.89K
Zombie,88,6,932.12,2.09K
Female,3840,487,67.06,112
Male,6039,814,68.63,103
