Punk_id,Rarity,Genre,Skin,Traits,Owned_by
9480,8007,Female,Albino,"['BlackLipstick', 'StringyHair', 'VR']",0xCffC33
9481,1246,Female,Dark,"['GreenEyeShadow', 'Mole', 'WildWhiteHair']",0x930aF7
9482,7129,Female,Dark,"['CrazyHair', 'Earring', 'EyeMask', 'HotLipstick', 'HiddenEarring']",0x69021A
9483,7875,Female,Dark,"['HotLipstick', 'MohawkThin', 'Mole', 'Pipe']",0x0DA0DF
9484,629,Female,Light,"['Earring', 'NerdGlasses', 'Pigtails']",0x062C54
9485,477,Female,Dark,"['Cigarette', 'HotLipstick', 'StringyHair', 'WeldingGoggles']",0x69021A
9486,1280,Female,Dark,"['ClownEyesBlue', 'PurpleLipstick', 'WildWhiteHair']",0x69021A
9487,4015,Male,Light,"['Earring', 'PoliceCap', 'VR']",0x79bB50
9488,2055,Male,Dark,"['Chinstrap', 'RegularShades', 'VampireHair']",0xa25803
9489,5886,Female,Mid,"['ClownEyesGreen', 'MessyHair', 'Vape']",0x4084dF
9490,5774,Female,Dark,"['GreenEyeShadow', 'HotLipstick', 'MohawkThin']",0x269616
9491,3741,Female,Albino,"['Earring', 'TassleHat', 'HiddenEarring']",0xEC6d36
9492,5627,Female,Light,"['BlueEyeShadow', 'MohawkThin', 'Pipe', 'PurpleLipstick']",0x717403
9493,1505,Female,Mid,"['PurpleEyeShadow', 'PurpleLipstick', 'WildBlonde']",0x50664e
9494,7406,Male,Light,"['ShadowBeard', 'ShavedHead', 'VR']",0x609630
9495,2429,Female,Dark,"['DGlasses', 'ClownHairGreen', 'SilverChain']",0xE3bf86
9496,1442,Male,Light,"['CowboyHat', 'Earring', 'EyePatch']",0x0Cca26
9497,69,Male,Dark,"['Beanie', 'HornedRimGlasses', 'Mustache']",0x69021A
9498,6832,Male,Mid,"['Earring', 'MohawkDark', 'NormalBeardBlack']",0xaEC988
9499,6998,Male,Dark,"['Earring', 'EyePatch', 'MohawkDark', 'NormalBeard']",0x51688C
9500,3034,Female,Mid,"['BlackLipstick', 'ClownEyesBlue', 'DarkHair']",0xDde8DF
9501,5567,Male,Mid,"['BigShades', 'Handlebars', 'Mohawk', 'Mole']",0x26f744
9502,3415,Male,Mid,"['Earring', 'GoldChain', 'Muttonchops', 'ShavedHead']",0x9d3F4E
